name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
...Ready For It?,Taylor Swift,spotify:track:7zgqtptZvhf8GEmdsM2vp2,0.0665,0.615,0.779,0.0,0.155,-6.454,0.135,160.0,0.453,The Longest Playlist on Spotify® (Official)
Life Changes,Thomas Rhett,spotify:track:4Vxu50qVrQcycjRyJQaZLC,0.1,0.687,0.845,0.0,0.0452,-4.37,0.0576,87.972,0.809,The Longest Playlist on Spotify® (Official)
24K Magic,Bruno Mars,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,0.632,The Longest Playlist on Spotify® (Official)
Galway Girl,Ed Sheeran,spotify:track:0afhq8XCExXpqazXczTSve,0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,0.781,The Longest Playlist on Spotify® (Official)
Photograph,Ed Sheeran,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,The Longest Playlist on Spotify® (Official)
Havana (feat. Young Thug),Camila Cabello,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0.186,0.768,0.517,3.8e-05,0.104,-4.323,0.0312,104.992,0.418,The Longest Playlist on Spotify® (Official)
When I Was Your Man,Bruno Mars,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0.0,0.088,-8.648,0.0434,72.795,0.387,The Longest Playlist on Spotify® (Official)
Gonna Fly Now,Bill Conti,spotify:track:6C2PfemHQul77DVpnvuAIs,0.4,0.415,0.538,0.767,0.0674,-12.71,0.0368,95.121,0.449,The Longest Playlist on Spotify® (Official)
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,0.341,0.776,0.62,0.0,0.0978,-6.198,0.067,100.025,0.427,The Longest Playlist on Spotify® (Official)
Thinking out Loud,Ed Sheeran,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,The Longest Playlist on Spotify® (Official)
Everybody Talks,Neon Trees,spotify:track:3528IXKpbb7OMjdjWYlbfD,0.00301,0.471,0.924,0.0,0.313,-3.906,0.0586,154.961,0.725,The Longest Playlist on Spotify® (Official)
We Are Never Ever Getting Back Together,Taylor Swift,spotify:track:7AEAGTc8cReDqcbPoY9gwo,0.00957,0.628,0.676,2.65e-05,0.102,-5.911,0.0916,85.984,0.75,The Longest Playlist on Spotify® (Official)
Bad Blood,Taylor Swift,spotify:track:273dCMFseLcVsoSWx59IoE,0.0871,0.65,0.802,6.54e-06,0.148,-6.114,0.181,170.146,0.295,The Longest Playlist on Spotify® (Official)
Hall of Fame (feat. will.i.am),The Script,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,0.0654,0.421,0.873,0.0,0.123,-4.343,0.0564,84.786,0.629,The Longest Playlist on Spotify® (Official)
Payphone,Maroon 5,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,0.0136,0.739,0.756,0.0,0.37,-4.828,0.0394,110.028,0.523,The Longest Playlist on Spotify® (Official)
Sugar,Maroon 5,spotify:track:2iuZJX9X9P0GKaE93xcPjk,0.0591,0.748,0.788,0.0,0.0863,-7.055,0.0334,120.076,0.884,The Longest Playlist on Spotify® (Official)
Stuck Like Glue,Sugarland,spotify:track:0JcKdUGNR7zI4jJDLyYXbi,0.329,0.702,0.795,0.0,0.0505,-4.764,0.0568,83.961,0.836,The Longest Playlist on Spotify® (Official)
That's What I Like,Bruno Mars,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,0.86,The Longest Playlist on Spotify® (Official)
Steal My Girl,One Direction,spotify:track:2Bs4jQEGMycglOfWPBqrVG,0.00433,0.536,0.768,0.0,0.114,-5.948,0.0347,77.217,0.545,The Longest Playlist on Spotify® (Official)
I'm the One,DJ Khaled,spotify:track:72Q0FQQo32KJloivv5xge2,0.0533,0.599,0.667,0.0,0.134,-4.267,0.0367,80.984,0.817,The Longest Playlist on Spotify® (Official)
Wildest Dreams,Taylor Swift,spotify:track:59HjlYCeBsxdI0fcm3zglw,0.0702,0.554,0.666,0.00593,0.106,-7.414,0.0747,140.056,0.472,The Longest Playlist on Spotify® (Official)
Young Dumb & Broke,Khalid,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.199,0.799,0.539,1.66e-05,0.165,-6.351,0.0421,136.948,0.394,The Longest Playlist on Spotify® (Official)
Unwritten,Natasha Bedingfield,spotify:track:1D1nixOVWOxvNfWi0UD7VX,0.00584,0.706,0.8,0.0,0.0822,-6.333,0.0399,100.011,0.629,The Longest Playlist on Spotify® (Official)
Ignition - Remix,R. Kelly,spotify:track:3zSCNTXI7Ed0PiidZVmzIe,0.0549,0.778,0.549,0.0,0.0724,-6.144,0.0473,133.041,0.802,The Longest Playlist on Spotify® (Official)
Free Fallin',Tom Petty,spotify:track:5tVA6TkbaAH9QMITTQRrNv,0.212,0.623,0.449,0.0,0.0613,-13.333,0.0253,84.383,0.572,The Longest Playlist on Spotify® (Official)
Brown Eyed Girl,Van Morrison,spotify:track:3yrSvpt2l1xhsV9Em88Pul,0.185,0.491,0.583,0.0,0.406,-10.964,0.0376,150.566,0.908,The Longest Playlist on Spotify® (Official)
It Girl,Jason Derulo,spotify:track:4fINc8dnfcz7AdhFYVA4i7,0.0165,0.668,0.718,0.0,0.104,-4.736,0.0605,91.993,0.345,The Longest Playlist on Spotify® (Official)
"Hey, Soul Sister",Train,spotify:track:0KpfYajJVVGgQ32Dby7e9i,0.217,0.675,0.885,0.0,0.086,-4.432,0.0436,97.03,0.768,The Longest Playlist on Spotify® (Official)
Feel It Still,Portugal. The Man,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0.0504,79.028,0.754,The Longest Playlist on Spotify® (Official)
Closer,The Chainsmokers,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,0.661,The Longest Playlist on Spotify® (Official)
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,0.0106,0.669,0.832,0.0,0.0968,-5.721,0.0682,113.035,0.7,The Longest Playlist on Spotify® (Official)
Kiss Me Thru The Phone,Soulja Boy,spotify:track:2q4rjDy9WhaN3o9MvDbO21,0.0185,0.758,0.712,0.0,0.0677,-3.781,0.112,149.998,0.795,The Longest Playlist on Spotify® (Official)
Uptown Funk (feat. Bruno Mars),Mark Ronson,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,0.928,The Longest Playlist on Spotify® (Official)
Blank Space,Taylor Swift,spotify:track:1p80LdxRV74UKvL8gnD7ky,0.085,0.753,0.678,1.64e-06,0.13,-5.421,0.0644,96.006,0.583,The Longest Playlist on Spotify® (Official)
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,0.0111,0.722,0.758,0.0,0.308,-4.477,0.0471,128.047,0.62,The Longest Playlist on Spotify® (Official)
Roar,Katy Perry,spotify:track:6F5c58TMEs1byxUstkzVeM,0.00487,0.554,0.772,6.6e-06,0.354,-4.821,0.0418,179.984,0.455,The Longest Playlist on Spotify® (Official)
Ymca,Village People,spotify:track:7Cp69rNBwU0gaFT8zxExlE,0.152,0.715,0.951,0.0,0.302,-6.488,0.132,126.643,0.671,The Longest Playlist on Spotify® (Official)
You Belong With Me,Taylor Swift,spotify:track:3GCL1PydwsLodcpv0Ll1ch,0.162,0.687,0.783,1.35e-05,0.114,-4.44,0.0386,129.964,0.443,The Longest Playlist on Spotify® (Official)
All These Things That I've Done,The Killers,spotify:track:0kYUrLVQOfx21xuXu7OGrT,0.00156,0.557,0.728,5.13e-06,0.118,-6.181,0.0405,118.241,0.216,The Longest Playlist on Spotify® (Official)
I Knew You Were Trouble.,Taylor Swift,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,0.00454,0.622,0.469,2.25e-06,0.0398,-6.798,0.0363,77.019,0.679,The Longest Playlist on Spotify® (Official)
Cake By The Ocean,DNCE,spotify:track:76hfruVvmfQbw0eYn1nmeC,0.152,0.774,0.753,0.0,0.0371,-5.446,0.0517,119.002,0.896,The Longest Playlist on Spotify® (Official)
Call Me Maybe,Carly Rae Jepsen,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,0.0114,0.783,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,0.66,The Longest Playlist on Spotify® (Official)
22,Taylor Swift,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,The Longest Playlist on Spotify® (Official)
California Gurls,Katy Perry,spotify:track:6tS3XVuOyu10897O3ae7bi,0.00446,0.791,0.754,0.0,0.163,-3.729,0.0569,125.014,0.425,The Longest Playlist on Spotify® (Official)
